title,text
Что нельзя публиковать на RUTUBE?,"Чужой контент без разрешения автора или правообладателя. Например, музыку, видео и изображения из общего доступа, записи концертов, фильмов, аудиокниги, фрагменты новостных сюжетов из ТВ-эфиров, видео популярных блогеров, трансляции спортивных событий.
Рекламу трансцендентных услуг. Например, рекламу гаданий, услуг ясновидящих, экстрасенсов и т. д.
Откровенно сексуальный контент. Например, танцы в откровенных костюмах, рекламу интим-товаров или сексуальных услуг. 
Рекламу букмекеров, проведение ставок и пропаганду любых азартных игр. 
Рекламу или продвижение финансовых пирамид и сетевого маркетинга (MLM), преподнесение их в качестве надёжного источника заработка.  
Нецензурную брань, оскорбления, подстрекательства к незаконным действиям. 
Контент, который нацелен только на перенаправление зрителей на другие сайты. 
Контент иностранных агентов или о них без специальной маркировки.
Больше информации есть по ссылкам: 

https://rutube.ru/info/taboo_agreement/
https://rutube.ru/info/socially_important/
https://rutube.ru/info/adverguide/
https://rutube.ru/info/content/"
Почему могут отключить монетизацию из-за авторского права на видео и как этого избежать?,"Монетизация может отключиться, если на вашем канале есть музыка, видео или изображения из общего доступа, книги и учебники, цитаты молитв, права на которые вам не принадлежат. 
Авторским правом охраняются все произведения искусства, литературы и науки — то есть любая музыка, видео и изображения. При этом неважно, насколько они популярны или ценны для общества. У них у всех есть автор или правообладатель. 
Помните: то, что материал гуляет по интернету, не означает, что его можно использовать без ограничений.  
Для монетизации можно использовать: То, что вы создали сами: видео, которое вы сняли, музыку, которую вы написали, изображения, которые вы создали.
Видео, музыку, изображения со стоков, которые предоставляют лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. 
Видео, музыку, изображения из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование.
Иногда можно использовать короткие фрагменты и цитаты чужих произведений, указывая автора и источник, но размер этого фрагмента должен быть оправдан целью вашего видео. Например, строчка из новостей в глобальной аналитике прессы, часть песни в разборе вокальных приёмов и подобное. 
Если на вашем канале есть потенциально чужой контент и вы хотите его монетизировать, предоставьте документы от его правообладателя — например:  Лицензионный договор.  Договор об отчуждении исключительного права. Разрешительное или гарантийное письмо от правообладателя и т. п.
Подробнее об авторском праве: https://rutube.ru/info/authors/"
Почему могут отключить монетизацию из-за искусственного завышения показателей на видео и как этого избежать? ,"Монетизация на RUTUBE зависит в том числе от количества просмотров и приостановок видеопотока. Алгоритмы платформы очень внимательно следят за статистикой и понимают, когда показатели завышены искусственно. Это нарушает п. 2.3.17 оферты: https://rutube.ru/info/adv_oferta/ и п. 1.33 приложения № 1 к оферте: https://rutube.ru/info/adv_oferta_glossary/ и может быть причиной отключения монетизации.  Не завышайте показатели искусственно, соблюдайте правила и зарабатывайте на RUTUBE честным способом. Подробнее о правилах Пользовательского соглашения: https://rutube.ru/info/agreement/"
"Для каких статусов доступна монетизация, и почему могут отключить монетизацию из-за изменения юридического статуса на видео, как этого избежать?","Монетизацию на RUTUBE можно подключить, если вы самозанятый, ИП или юрлицо. 
Лимит дохода самозанятых — 2,4 млн ₽ в год. Если его превысить, статус автоматически теряется, а монетизация отключится. Чтобы вернуть монетизацию, перейдите в другой юридический статус с новым налоговым режимом и подайте новую заявку. "
"Какой контент можно использовать для монетизации, то есть в коммерческих целях?","То, что вы создали сами: видео, которое вы сняли, музыку, которую вы написали, изображения, которые вы создали. Видео, музыку, изображения со стоков, которые предоставляют лицензию на коммерческое использование. Рекомендуем внимательно читать условия лицензии и соблюдать их — например, размещать ссылки на источники и имя автора, как это предусмотрено лицензией. Видео, музыку, изображения из библиотек платных видеоредакторов, лицензия которых предусматривает право на их коммерческое использование."
Какие материалы защищены авторским правом?,"Авторским правом охраняются произведения искусства, литературы и науки — то есть любая музыка, видео и изображения. При этом неважно, насколько они популярны или ценны для общества. У них у всех есть автор или правообладатель. "
Как подтвердить права на использование контента для монетизации?,"Если на вашем канале есть потенциально чужой контент и вы хотите его монетизировать, нужно предоставить документы от его правообладателя — например: Лицензионный договор; Договор об отчуждении исключительного права; Разрешительное или гарантийное письмо от правообладателя и т. п."
"Кому принадлежат авторские права на контент, который я размещаю на платформе?","По умолчанию считается, что авторские права на размещённый на RUTUBE контент принадлежат тому пользователю, который его разместил. Некоторые права передаются в рамках открытой лицензии третьим лицам, получившим доступ к этому контенту. Подробнее в разделе 4 Генерального пользовательского соглашения https://rutube.ru/info/agreement/ и в Приложении «Е» https://rutube.ru/info/ccl_agreement/. "
Можно ли цитировать чужие произведения?,"Да, но нужно соблюдать несколько условий: Цитируемое произведение обнародовано правомерно; Указаны автор этого произведения и источник заимствования; Заимствована только небольшая часть произведения, и это оправдано целью видео."
Могу ли я использовать небольшие фрагменты фильмов для создания своих видео?,"Да, на тех же условиях, что и цитирование. Использовать чужой контент в видео можно, только если у вас есть разрешение его автора или правообладателя либо это позволяет лицензия. Небольшие, короткие вставки или стоп-кадры можно использовать, но важно следить за тем, чтобы размер фрагмента был оправдан целью."
Можно ли свободно использовать материалы из интернета или из общего доступа?,"У любых материалов есть автор или правообладатель. Вам нужно его официальное разрешение для использования материалов в своём контенте. Факт того, что материал гуляет по интернету, не означает, что его можно использовать без ограничений."
"Можно ли использовать в видео материалы, которые распространяются по свободной лицензии?","Да, можно, но только если вы предоставите ссылку на страницу, где указаны однозначные условия такой лицензии на использование его материала."
Можно ли публиковать видео с чтением чужих книг и их переводов?,"Да, можно, но только если: У вас есть разрешение от автора или правообладателя; Это произведение или его перевод перешло в общественное достояние. Произведение переходит в общественное достояние через 70 лет после смерти автора, считая с 1 января года, следующего за годом смерти."
Нарушает ли авторские права использование образа персонажа игры/фильма/сериала?,"Да, права на персонажей фильмов/мультфильмов/игр/сериалов охраняются авторским правом, и их образы нельзя использовать без официального разрешения автора или правообладателя."
"Почему вы не разглашаете, чьи авторские права я нарушаю?","Мы строго следуем правилам платформы, а именно п. 4.18, 4.27, 4.30 Генерального пользовательского соглашения RUTUBE."
"Как пожаловаться на видео, если оно нарушает авторские права?","Чтобы отправить жалобу, заполните форму: Для юридических лиц: https://rutube.ru/forms/form/2/ . Для физических лиц: https://rutube.ru/forms/form/12/. Или нажмите «Пожаловаться» в меню действий видео, комментария, плейлиста или канала."
Что такое мобильное приложение Студия RUTUBE?,"Приложение Студия RUTUBE — это приложение для смартфонов работающих под управлением iOS и Аndroid, HarmonyOS, которое помогает блогерам общаться со своей аудиторией, анализировать статистику по своему каналу и работать с контентом."
Какие функции доступны в приложении Студия RUTUBE?,"В приложении Студия RUTUBE доступны: 1. Страница управления настройками канала 2. Аналитика канала 3. Загрузка видео 4. Статистика по видео 5. Редактирование видео 6. Просмотр всех видео на канале 7. Обзор показателей канала (статистика по каналу, последнее опубликованное видео с аналитикой по нему и последний опубликованный комментарий под видео на вашем канале)"
На каких операционных системах доступно приложение Студия RUTUBE?,"Приложение доступно на мобильных устройствах с операционной системой iOS (версия 16.0 и выше), Аndroid (версия 8 и выше) и HarmonyOS."
Как узнать версию приложения Студия RUTUBE?,"Для этого в правом верхнем углу нажмите на фото своего профиля и под кнопкой ""Выйти"" будет указана версия приложения Студия RUTUBE."
Как зарегистрироваться в приложении Студия RUTUBE?,Зарегистрироваться в приложении можно по номеру телефона или электронной почте.
Как авторизоваться в приложении Студия RUTUBE?,Авторизоваться в приложении можно по номеру телефона или электронной почте.
